github.com/AlDanial/cloc v 2.08  T=1.00 s (330.9 files/s, 89956.4 lines/s)
--------------------------------------------------------------------------------------------------------------------------------------
File                                                                                               blank        comment           code
--------------------------------------------------------------------------------------------------------------------------------------
ExecutionView\backend\api\data\broker_algorithms.json                                                  0              0          16819
ExecutionView\backend\api\services\bloomberg_adapter.py                                              318            366           2119
ExecutionView\frontend\src\components\batch-route-order-dialog.tsx                                    71            154           1247
ExecutionView\frontend\src\sections\SettingsBoard.tsx                                                 64             30           1102
CostView\src\tca_query_service.py                                                                    162            191           1082
platform_data\adapters.py                                                                            178             74            936
ExecutionView\frontend\src\components\route-modify-dialogs.tsx                                        84             35            893
ExecutionView\frontend\src\sections\RouteTable.tsx                                                    47             34            866
platform_data\repositories.py                                                                        113            127            866
CostView\src\pipeline.py                                                                             178            123            808
ExecutionView\frontend\src\modules\marketview\MarketViewModule.tsx                                    57              0            795
CostView\src\fill_fetch.py                                                                           177            187            773
CostView\src\processed_fills_db.py                                                                   132            332            685
ExecutionView\frontend\src\sections\OrderTable.tsx                                                    53             21            681
ExecutionView\frontend\src\components\ui\sidebar.tsx                                                  54             11            661
ExecutionView\frontend\src\components\route-plan-manager.tsx                                          36              9            617
ExecutionView\backend\api\schemas.py                                                                 120             74            614
scripts\import_excel_fills.py                                                                        146            216            590
ExecutionView\frontend\src\services\api.ts                                                            77             58            587
scripts\workflow\auto_runner.py                                                                      116             60            582
ExecutionView\frontend\src\sections\MonitorBoard.tsx                                                  39             32            574
ExecutionView\frontend\src\types\index.ts                                                             53             24            533
scripts\service-manager.ps1                                                                           91             34            519
CostView\src\raw_fills_db.py                                                                         117            282            516
ExecutionView\frontend\src\components\batch-operation-dialogs.tsx                                     40             23            497
ExecutionView\backend\api\routers\route_plans.py                                                      99             49            491
ExecutionView\frontend\src\components\unified-modify-route-dialog.tsx                                 45             40            486
ExecutionView\backend\api\routers\orders.py                                                           99             46            482
ExecutionView\backend\api\services\batch_route_service.py                                             76             64            474
ExecutionView\frontend\src\modules\costview\components\ScorecardView.tsx                              23              1            447
ExecutionView\backend\api\routers\costview.py                                                         80             70            434
ExecutionView\backend\api\routers\marketview.py                                                       85             10            409
CostView\src\validate_raw_fills.py                                                                   105            118            405
ExecutionView\frontend\src\hooks\use-execution-view-data.ts                                           40             17            375
ExecutionView\backend\api\data\market_broker_mapping.json                                              0              0            360
ExecutionView\frontend\src\App.tsx                                                                    27             53            345
ExecutionView\frontend\src\data\broker-exchange-mapping.ts                                             7             10            338
ExecutionView\backend\api\services\route_engine.py                                                    76             76            333
ExecutionView\backend\api\tests\test_parent_child_execution.py                                        56             11            324
CostView\src\fill_ingestion.py                                                                        63             49            321
ExecutionView\backend\api\tests\test_algo_scheduler.py                                               125             48            319
ExecutionView\frontend\src\components\ui\chart.tsx                                                    36              2            319
ExecutionView\frontend\src\sections\BatchOperationPanel.tsx                                           29             13            308
CostView\src\bdib_fetcher.py                                                                          70             66            301
ExecutionView\backend\api\tests\test_benchmark_engine.py                                              52             29            295
ExecutionView\frontend\src\hooks\use-broker-algorithms.ts                                             39             60            294
ExecutionView\backend\api\tests\test_bloomberg_adapter_routing.py                                     95              6            293
ExecutionView\backend\api\tests\test_batch_route_endpoints.py                                         51             28            289
ExecutionView\frontend\src\modules\databaseview\components\SchemaSamplePanel.tsx                      15              3            289
CostView\src\attribution\writer.py                                                                    45            105            288
ExecutionView\frontend\src\components\market-broker-mapping-section.tsx                               32             48            285
ExecutionView\frontend\src\components\algo-launch-dialog.tsx                                          26              5            283
ExecutionView\backend\api\services\compliance_service.py                                              42             40            278
ExecutionView\frontend\src\modules\costview\lib\export.ts                                             30              0            276
CostView\src\raw_bdib_db.py                                                                           36             69            272
ExecutionView\frontend\src\components\order-modify-dialog.tsx                                         22             15            270
ExecutionView\frontend\src\sections\ExecutionBoard.tsx                                                17             23            268
ExecutionView\frontend\src\components\rate-diagnostic-dialog.tsx                                      23             14            266
ExecutionView\frontend\src\modules\costview\CostViewModule.tsx                                        33              0            265
CostView\src\daily_metrics_calculator.py                                                              57             23            257
ExecutionView\frontend\src\components\ui\menubar.tsx                                                  18              0            256
ExecutionView\frontend\src\components\strategy-data-manager.tsx                                       20             11            255
ExecutionView\backend\api\main.py                                                                     68             70            254
CostView\src\__main__.py                                                                              47             35            246
ExecutionView\frontend\src\services\strategy-data-service.ts                                          40             62            243
ExecutionView\frontend\src\components\sub-order-review-panel.tsx                                      17              5            240
CostView\src\emsx_client.py                                                                           54             45            239
ExecutionView\frontend\src\components\ui\dropdown-menu.tsx                                            17              0            238
scripts\_archive\2026-04-28\test_order_exchange_ticker.py                                             53             31            238
