EMSX_FIELD_NAME,EMSX_DISP_NAME,EMSX_TYPE,EMSX_LEVEL,EMSX_LEN
MSG_TYPE,Msg Type,String,0,1
MSG_SUB_TYPE,Msg Sub Type,String,0,1
EVENT_STATUS,Msg Status,Int32,0,10
API_SEQ_NUM,Api Sequence,Int64,0,20
EMSX_SEQUENCE,Sequence #,Int32,27,10
EMSX_ROUTE_ID,Tran No,Int32,11,10
EMSX_FILL_ID,Fill Id,Int32,2,10
EMSX_SIDE,B/S,String,17,4
EMSX_AMOUNT,Amount,Int32,27,15
EMSX_FILLED,FILLED,Int32,3,15
EMSX_AVG_PRICE,AvgPrc,Double,3,15
EMSX_BROKER,Broker,String,27,10
EMSX_WORKING,WORKING,Int32,3,15
EMSX_TICKER,Security,String,17,16
EMSX_EXCHANGE,Ex,String,1,3
EMSX_ROUTE_CREATE_TIME,TimeAdded,Time,2,6
EMSX_TIF,TIF,String,27,4
EMSX_ROUTE_LAST_UPDATE_TIME,Route Last Update Time,Time,2,6
EMSX_TIME_STAMP,Create Time,Time,3,6
EMSX_STRATEGY_TYPE,Strat Type,String,3,8
EMSX_STATUS,Status,String,3,9
EMSX_IDLE_AMOUNT,Idle Qty,Int32,1,15
EMSX_STRATEGY_STYLE,Style,String,3,11
EMSX_ROUTE_PRICE,Route Price,Double,3,15
EMSX_LIMIT_PRICE,LmtPrc,Double,27,15
EMSX_REMAIN_BALANCE,Rembal,Double,3,15
EMSX_TRADER,Trader,String,1,12
EMSX_DAY_FILL,DayFill,Int32,3,15
EMSX_DAY_AVG_PRICE,Day Avg Px,Double,3,15
EMSX_DATE,Order Create Date,Date,1,8
EMSX_NOTES,Instructions,String,27,44
EMSX_ACCOUNT,Account,String,27,12
EMSX_TYPE,Type,String,3,4
EMSX_PRINCIPAL,Principal,Double,3,15
EMSX_SETTLE_AMOUNT,Net Filled Value,Double,3,15
EMSX_SEC_NAME,Security Name,String,0,30
EMSX_PORT_MGR,PortMgr,String,1,12
EMSX_GTD_DATE,GTD Date,Date,27,8
EMSX_PORT_NAME,PortName,String,1,8
EMSX_STRATEGY_END_TIME,Strat End Tm,Time,3,6
EMSX_ML_PERCENT_FILLED,ML Percent Filled,Double,2,15
EMSX_ML_STRATEGY,ML Strategy Name,String,2,29
EMSX_ML_LEG_QUANTITY,ML Leg Qty,Int32,2,15
EMSX_ML_TOTAL_QUANTITY,ML Qty,Int32,2,15
EMSX_ML_REMAIN_BALANCE,ML RemBal,Double,2,15
EMSX_STRATEGY_START_TIME,Strat Start Tm,Time,3,6
EMSX_BASKET_NAME,Basket Name,String,1,20
EMSX_PERCENT_REMAIN,%Remain,Double,3,15
EMSX_ROUTE_CREATE_DATE,DateAdded,Date,2,8
EMSX_P_A,P/A,String,26,1
EMSX_CLEARING_ACCOUNT,Clearing Account,String,10,30
EMSX_CLEARING_FIRM,Clearing Firm,String,10,30
EMSX_STOP_PRICE,Stop Price,Double,27,15
EMSX_SETTLE_DATE,Settle Date,Date,27,8
EMSX_ISIN,ISIN,String,1,12
EMSX_BROKER_COMM,Commission,Double,3,15
EMSX_WORK_PRICE,WorkPx,Double,1,15
EMSX_SEDOL,Sedol,String,1,8
EMSX_HAND_INSTRUCTION,Handling Inx,String,19,6
EMSX_TS_ORDNUM,Order#,Int32,1,10
EMSX_COMM_RATE,Comm Rate,Double,3,15
EMSX_EXEC_INSTRUCTION,Exec Instr,String,27,8
EMSX_ORD_REF_ID,OrderRefID,String,25,15
EMSX_STRATEGY_PART_RATE2,Part Rate 2,Double,3,15
EMSX_USER_COMM_RATE,User's Comm Rate,Double,3,15
EMSX_USER_COMM_AMOUNT,User's Comm Amount,Double,3,15
EMSX_ORDER_TYPE,Order Type,String,27,4
EMSX_REASON_CODE,Reason Code,String,3,2
EMSX_REASON_DESC,ReasonDesc,String,3,20
EMSX_STRATEGY_PART_RATE1,Part Rate 1,Double,3,15
EMSX_BSE_FILLED,Bse Filled,Int32,3,15
EMSX_QUEUED_TIME,Queued Time,Time,3,6
EMSX_NSE_FILLED,NSE Filled,Int32,3,15
EMSX_BASKET_NUM,Basket,Int32,1,10
EMSX_LAST_FILL_TIME,Last Fill Time,Time,2,6
EMSX_NSE_AVG_PRICE,NSE AvgPx,Double,3,15
EMSX_CFD_FLAG,CFD,Bool,25,1
EMSX_BSE_AVG_PRICE,BSE AvgPx,Double,3,15
EMSX_USER_NET_MONEY,User's Net Money,Double,3,15
EMSX_ASSIGNED_TRADER,AssignedTraderName,String,1,15
EMSX_ORIGINATE_TRADER,Originating Trader Name,String,1,40
EMSX_USER_FEES,User's Fees,Double,3,15
EMSX_INVESTOR_ID,InvestorID,String,1,13
EMSX_POSITION,Position,String,1,5
EMSX_PORT_NUM,PortNum,Int32,1,10
EMSX_ASSET_CLASS,Asset Class,String,1,6
EMSX_ORIGINATE_TRADER_FIRM,Originating Trader Firm,String,1,30
EMSX_YELLOW_KEY,Yellow Key,String,1,7
EMSX_QUEUED_DATE,Queued Date,Date,3,8
EMSX_TRADE_DESK,Equity Trade Desk,String,1,9
EMSX_EXECUTE_BROKER,Executing Broker,String,2,10
EMSX_COMM_DIFF_FLAG,Commission Difference,Bool,3,1
EMSX_EXCHANGE_DESTINATION,Exchange Destination,String,27,8
EMSX_CURRENCY_PAIR,Currency Pair,String,3,6
EMSX_MISC_FEES,MiscFees,Double,2,15
EMSX_STEP_OUT_BROKER,StepoutBroker,String,1,10
EMSX_URGENCY_LEVEL,Urgency,Int32,2,10
EMSX_ML_RATIO,ML Ratio,Double,2,15
EMSX_DIR_BROKER_FLAG,DirBrkrFlag,Bool,1,1
EMSX_START_AMOUNT,Original Order Amount,Int32,1,15
EMSX_ARRIVAL_PRICE,Arrival Px,Double,1,15
EMSX_PRODUCT,Product,String,1,12
EMSX_IS_MANUAL_ROUTE,BLS Manual,Int32,2,10
EMSX_UNDERLYING_TICKER,UnderlyingTicker,String,0,128
EMSX_ML_NUM_LEGS,MLegTotalLegs,Int32,2,10
EMSX_TRADER_NOTES,TraderNotes,String,9,44
EMSX_CUSTOM_ACCOUNT,Route Account,String,2,12
EMSX_LAST_SHARES,Last Shares,Int32,2,15
EMSX_LAST_PRICE,Last Price,Double,2,15
EMSX_LAST_MARKET,LastMarket,String,2,4
EMSX_TRAD_UUID,Tr Uuid,Int32,1,10
EMSX_PM_UUID,PmUuid,Int32,1,10
EMSX_LOCATE_REQ,Locate Req,String,8,3
EMSX_LOCATE_BROKER,Locate Broker,String,8,10
EMSX_LOCATE_ID,Locate ID,String,8,20
EMSX_ML_ID,ML ID,String,2,25
EMSX_BLOCK_ID,Block ID,String,1,40
EMSX_ROUTE_REF_ID,RouteRefID,String,10,15
EMSX_BROKER_STATUS,Broker Status,String,2,9
EMSX_BUYSIDE_LEI,Buyside LEI,String,27,20
EMSX_BROKER_LEI,Broker LEI,String,2,20
EMSX_TRADE_REPORTING_INDICATOR,Trade Reporting Indicator,String,2,21
EMSX_TRANSACTION_REPORTING_MIC,Transaction Reporting MIC,String,2,5
EMSX_APA_MIC,APA MIC,String,2,5
EMSX_OTC_FLAG,OTC Flag,String,2,100
EMSX_WAIVER_FLAG,Waiver Flag,String,2,100
EMSX_LAST_CAPACITY,Last Capacity,String,2,2
